exp,,,,Error types,,,,,,pass rate by program length (short -> long),,,,,,,
Python - Java 158 programs,Pass@1(n=20),Pass@5(n=20),Pass@10(n=20),type_error,undeclared_error,other_syntax_error,assertion_error,runtime_error,unhelpful,pass (1st qt),pass (2nd qt),pass (3rd qt),pass (4th qt),Pass,src_lang,tgt_lang,shots
baseline (0 shot),0.76,0.814,0.831,0.006,0.057,0.025,0.146,0.013,0,0.8,0.85,0.763,0.615,0.649,py,java,0
baseline (0 shot) (alt prompt),0.649,0.737,0.777,0.032,0.057,0.152,0.114,0.006,,0.65,0.75,0.605,0.55,0.649,py,java,0
summary -> translation,,,,0.006,0.019,0.013,0.101,0.06,,0.875,0.923,0.821,0.8,0.854,py,java,0
baseline (1 shot),0.821,0.867,0.884,0.006,0.006,0.013,0.139,0.019,0,0.875,0.9,0.711,0.775,0.821,py,java,1
align (1 shot),,,,0,0.038,0.051,0.101,0.013,0,0.875,0.872,0.774,0.7,0.797,py,java,
"w/ NL + test (src-yes, tgt-reworded)",,,,0,0.051,0.019,0.127,0.032,,0.85,0.872,0.667,0.7,0.772,py,java,
w/ inline comments (4 shot comments),,,,0.019,0.082,0.019,0.089,0.032,,0.775,0.769,0.795,0.7,0.759,py,java,
inline comments -> translation,,,,0.019,0.051,0.038,0.114,0.019,0,0.875,0.821,0.744,0.6,0.759,py,java,
steps -> translation,,,,0.013,0.038,0.025,0.108,0.019,,0.825,0.872,0.744,0.75,0.797,py,java,
steps (specific) -> translation,,,,0.006,0.025,0.025,0.114,0.006,,0.925,0.872,0.795,0.7,0.823,py,java,
steps-nl -> translation,,,,0.013,0.025,0.044,0.12,0,0,0.85,0.897,0.718,0.725,0.797,py,java,
steps-w-code -> translation,,,,0.044,0.019,0.044,0.133,0.006,0,0.825,0.821,0.718,0.65,0.753,py,java,
latex (algorithmic) -> translation,,,,0.013,0.032,0.006,0.127,0.019,,0.875,0.872,0.718,0.75,0.804,py,java,
latex (algorithm) -> translation,,,,0.006,0.038,0.006,0.089,0,,0.9,0.923,0.769,0.85,0.861,py,java,
steps -> latex -> translation,,,,0.006,0.032,0.025,0.127,0.013,0,0.825,0.923,0.744,0.7,0.797,py,java,
gold summary -> translation,,,,0.013,0.006,0.026,0.123,0.019,,0.8,0.872,0.73,0.846,0.813,py,java,0
explain -> translation,0.829,0.875,0.886,0.006,0.032,0.019,0.114,0.013,0,0.875,0.897,0.718,0.775,0.829,py,java,0
explain -> translation (java),0.829,0.875,0.886,,,,,,,,,,,,py,java,0
explain (0 shot) -> translation (coder-reviewer),0.854,0.876,0.883,0.006,0.018,0.007,0.112,0.3,0,0.931,0.904,,,,py,java,0
explain (trial 2) -> translation,0.834,0.867,,,,,,,,,,,,,py,java,
explain (trial 3) -> translation,0.808,0.842,,,,,,,,,,,,,py,java,
explain (trial 4) -> translation,0.814,0.842,,,,,,,,,,,,,py,java,
explain (1shot) -> translation,0.825,0.859,0.868,0.013,0,0,0.14,0.019,0,,,,,0.825,py,java,
summary -> steps -> translation,,,,0.025,0.013,0.025,0.108,0.032,0,0.875,0.897,0.718,0.7,0.797,py,java,
summary (python) -> summary (C++) -> translation,,,,,,,,,,,,,,,py,java,
summary -> latex -> translation,,,,,,,,,,,,,,,py,java,
summary -> steps -> latex -> translation,,,,,,,,,,,,,,,py,java,
summary LLM -> translation ,,,,0.006,0.013,0.006,0.177,0.006,0.032,,,,,0.759,py,java,
rewrite -> translation,,,,0.019,0.032,0.006,0.146,0.013,,0.8,0.846,0.744,0.75,0.785,py,java,
c++ -> translation,,,,0.063,0.07,0.025,0.139,0.013,,0.75,0.769,0.641,0.6,0.69,py,java,0
c++ (specific) -> translation,,,,0.013,0.07,0.038,0.127,0.019,,0.775,0.825,0.711,0.615,0.732,py,java,0
bash (specific) -> translation,,,,0,0.032,0.038,0.095,0.025,,0.875,0.872,0.744,0.75,0.81,py,java,0
r (specific) -> translation,,,,0.032,0.057,0.025,0.152,0.032,,0.675,0.795,0.667,0.675,0.703,py,java,0
Bash -> latex (specific) -> translation,,,,0.019,0.019,0.032,0.101,0.019,,0.85,0.846,0.769,0.775,0.81,py,java,0
cot -> translation,,,,0.032,0.019,0.095,0.108,0.013,0,0.825,0.795,0.641,0.675,0.734,py,java,
cot reasoning -> translation,,,,0,0.038,0.044,0.114,0.013,0.032,0.775,0.821,0.718,0.725,0.759,py,java,
baseline (4 shot) (old),0.852,0.877,0.882,0.019,0.013,0.006,0.122,0,0,0.925,0.872,0.816,0.744,0.84,py,java,
summary -> translation (4 shot),,,,0.013,0.013,0.006,0.129,0.006,0,0.9,0.921,0.711,0.795,0.832,py,java,
gold summary -> translation (4 shot),,,,0.013,0.013,0,0.148,0,0,0.9,0.868,0.737,0.795,0.826,py,java,
"explain -> translation (4 shot,old)",0.847,0.877,0.885,0.013,0.019,0.019,0.135,0.013,0,0.9,0.795,0.789,0.718,0.801,py,java,
summary (p(z|y) -> translation (4 shot),,,,0,0.006,0.006,0.142,0.006,0,0.925,0.842,0.737,0.846,0.839,py,java,
"summary (p(z|x, y) -> translation (4 shot)",,,,0.006,0.013,0,0.226,0,0,0.825,0.816,0.579,0.795,0.755,py,java,
summary xy summary + difference -> translation (4 shot),,,,0.019,0.013,0.006,0.155,0.006,0,,,,,0.8,py,java,
summary xy succinct -> translation (4 shot),,,,0,0.032,0.006,0.181,0.006,0,0.85,0.816,0.711,0.718,0.774,py,java,
summary xy generic -> translation (4 shot),,,,0,0.019,0.013,0.115,0.006,0,0.9,0.897,0.763,0.821,0.846,py,java,
explain (4 shot) -> translation (0 shot),,,,0.006,0.032,0.032,0.108,0.006,0,0.85,0.875,0.789,0.75,0.816,py,java,
retrieval (1shot) -> translation,,,,0.019,0.044,0.013,0.114,0.032,0,0.875,0.875,0.711,0.65,0.778,py,java,
retrieval (1shot) + summary -> translation,,,,0.019,0.013,0.006,0.133,0.013,0,0.875,0.85,0.763,0.775,0.816,py,java,
summary retrieval (1shot)  + summary-> translation,,,,,,,,,,,,,,,py,java,
debug (from baseline (0 shot)) -> translate,,,,,,,,,,,,,,0.804,py,java,
simplify -> translate,,,,,,,,,,,,,,,py,java,
baseline (4 shot),0.85,0.88,0.886,0.013,0.019,0,0.11,0,0,0.95,0.892,0.795,0.789,0.85,py,java,4
explain (4 shot) -> translation,0.832,0.857,0.864,0,0.013,0.006,0.13,0.013,0,0.925,0.892,0.769,0.763,0.832,py,java,4
explain (0 shot) -> translation (4 shot),0.816,0.845,0.852,0.006,0.019,0.019,0.135,0,0,0.9,0.897,0.763,0.718,0.821,py,java,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.85,0.867,0.875,,,,,,,,,,,,py,java,4
explain (20 exp ensemble) -> translation,0.829,0.892,0.911,,,,,,,,,,,0.829,py,java,0
explain-lbl -> translation,0.825,0.866,0.878,0.006,0.019,0.013,0.133,0.006,0,0.85,0.9,0.789,0.75,0.825,py,java,0
explain-lbl -> translation (1 shot) ,0.847,0.876,0.885,0.013,0.006,0.013,0.096,0.006,0,0.9,0.925,0.789,0.846,0.847,py,java,1
"explain-lbl -> translation (4 shot, old) ",0.848,0.871,0.884,0,0.006,0.006,0.117,0.013,0,0.95,0.892,0.795,0.7899,0.848,py,java,4
explain-lbl -> translation (4 shot),0.853,0.877,0.881,0.006,0.006,0.006,0.11,0.006,0,0.925,0.919,0.821,0.789,0.853,py,java,4
explain-lbl -> translation (4 shot) (20 exp ensemble) ,0.851,0.885,0.896,,,,,,,,,,,0.851,py,java,4
explain-lbl-simp -> translation (have not removed java code),0.846,0.877,0.886,0,0.025,0.013,0.108,0.019,0,0.9,0.9,0.789,0.75,0.846,py,java,0
explain-lbl-simp -> translation,0.84,0.87,0.879,0.009,0.036,0.009,0.092,0.014,0,0.887,0.922,0.853,0.696,,py,java,0
explain-lbl-simp -> translation (1 shot),0.832,0.867,0.877,0.032,0.013,0.006,0.108,0,0,0.875,0.9,0.737,0.846,0.832,py,java,1
explain-lbl-simp -> translation (4 shot) (no heuristic),0.865,0.888,0.896,0.019,0.013,0.013,0.091,0.006,0,0.9,0.892,0.795,0.842,0.865,py,java,4
explain-lbl-simp -> translation (4 shot) (longest) ,0.869,0.886,0.892,0.013,0.013,0.013,0.071,0.019,0,0.925,0.919,0.821,0.816,0.869,py,java,4
explain-lbl-simp -> translation (4 shot) (code frag),0.878,0.899,0.909,0.013,0.006,0.006,0.078,0.006,0,0.9,0.946,0.846,0.868,0.878,py,java,4
explain-lbl-simp -> translation (4 shot) (coder-reviewer),0.873,0.901,0.911,0.013,0.007,0.01,0.087,0.011,0,0.914,0.908,0.827,0.842,0.873,py,java,4
explain-lbl-simp -> translation (4 shot) (20 exp ensemble) ,0.857,0.9,0.912,,,,,,,,,,,0.859,py,java,4
"func -> src, tgt -> translate",,,,0.051,0.038,0.07,0.114,0.013,0,0.8,0.8,0.658,0.6,0.715,py,,
func3,,,,0.38,0.051,0.051,0.158,0.025,0,0.725,0.8,0.658,0.525,0.677,py,,
add func to explain,,,,,,,,,,,,,,,py,,
explain -> translate component -> translation,,,,0.013,0.032,0.032,0.114,0.019,0,0.85,0.875,0.737,0.7,0.791,py,,
explain -> translate component -> translation (1shot),,,,0.032,0.038,0.025,0.115,0,0,0.9,0.775,0.763,0.718,0.79,py,,
,,,,,,,,,,,,,,,,,
Python - C++ 161 programs,,,,,,,,,,,,,,,,,
baseline (0 shot),0.766,0.816,0.835,0.002,0.021,0.053,0.15,0.009,0,0.807,0.834,0.713,0.708,0.766,py,cpp,0
explain -> translation,0.807,0.839,0.85,0,0.012,0.031,0.124,0.006,0,0.881,0.897,0.775,0.75,0.807,py,cpp,0
explain -> translation (java),0.821,0.863,0.873,0.001,0.007,0.028,0.136,0.008,0,0.848,0.916,0.759,0.76,0.821,py,cpp,0
explain-lbl -> translation ,0.803,0.856,0.878,0.001,0.019,0.033,0.14,0.005,0,0.855,0.905,0.758,0.693,0.803,py,cpp,0
explain-lbl-simp -> translation ,0.791,0.823,0.837,0.006,0.032,0.024,0.137,0.011,0,0.873,0.869,0.79,0.629,0.791,py,cpp,0
baseline (1 shot),0.801,0.856,0.87,0,0.006,0.025,0.137,0.012,0,0.902,0.85,0.825,0.7,0.801,py,cpp,
explain -> translation (1 shot),,,,0.006,0.006,0.012,0.149,0.019,0,0.878,0.9,0.725,0.725,0.807,py,cpp,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,cpp,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,cpp,
baseline (4 shot),0.843,0.88,0.884,0,0.016,0.031,0.101,0.009,0,0.891,0.915,0.792,0.771,0.843,py,cpp,4
explain -> translation (4 shot),0.79,0.819,0.827,,,,,,,,,,,0.79,py,cpp,4
explain -> translation (4 shot) (java),0.778,0.802,0.812,0,0.013,0.014,0.179,0.015,0,0.876,0.862,0.692,0.601,0.778,py,cpp,4
explain (0 shot) -> translation (4 shot),0.805,0.837,0.843,,,,,,,,,,,0.805,py,cpp,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.808,0.836,0.848,,,,,,,,,,,,py,cpp,4
latex -> translation,,,,0,0.043,0.025,0.186,0,0,0.833,0.846,0.7,0.575,0.739,py,cpp,
latex (from java) -> translation,,,,0.006,0.043,0.025,0.174,0,0,0.833,0.872,0.725,0.575,0.752,py,cpp,
latex -> translation (1 shot),,,,0,0.012,0.019,0.174,0.012,0,0.81,0.923,0.65,0.75,0.783,py,cpp,
steps (specific) -> translation,,,,0,0.045,0.032,0.162,0.013,0,0.85,0.865,0.711,0.564,0.747,py,cpp,
steps (specific) -> translation (1 shot),,,,0,0.019,0.025,0.13,0.031,0,0.881,0.846,0.675,0.775,0.795,py,cpp,
steps-nl -> translation,,,,,,,,,,,,,,,py,cpp,
steps-w-code -> translation,,,,,,,,,,,,,,,py,cpp,
cot -> translation,,,,0.006,0.118,0.043,0.124,0.006,0,0.833,0.821,0.625,0.525,0.702,py,cpp,
cot -> translation (1 shot),,,,0,0.013,0.044,0.108,0.013,0,0.9,0.875,0.763,0.75,0.823,py,cpp,
summary -> translation,,,,0,0.012,0.025,0.143,0.006,0,0.881,0.923,0.75,0.7,0.814,py,cpp,
summary -> translation (1 shot),,,,0,0.019,0.019,0.143,0.006,0,0.878,0.9,0.7,0.775,0.814,py,cpp,
explain-lbl -> translation (not from java),,,,0,0.012,0.037,0.137,0,0,0.878,,,,0.814,py,cpp,
explain-lbl -> translation (4 shot),0.824,0.85,0.853,0,0.011,0.026,0.129,0.01,0,0.854,0.873,0.771,0.797,0.824,py,cpp,4
explain-lbl-simp -> translation (4 shot) (code frag),0.846,0.873,0.876,0,0.011,0.017,0.117,0.01,0,0.884,0.918,0.768,0.813,0.846,py,cpp,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.839,0.874,0.881,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - Bash 158 programs (allow multi),,,,,,,,,,,,,,,,,
baseline (0 shot),0.515,0.648,0.703,0,0.006,0.127,0.247,0,0.146,0.55,0.487,0.436,0.425,0.513,py,sh,0
explain -> translation,0.532,0.658,0.701,0,0.006,0.222,0.297,0,0,0.55,0.538,0.385,0.425,0.532,py,sh,0
explain -> translation (java),0.554,0.685,0.719,0,0.016,0.189,0.287,0,0.002,0.621,0.485,0.424,0.495,0.554,py,sh,0
explain-lbl -> translation ,0.568,0.668,0.726,0,0.032,0.19,0.259,0.006,0,0.575,0.513,0.462,0.5,0.568,py,sh,0
explain-lbl-simp -> translation ,0.564,0.652,0.679,,,,,,,,,,,0.564,py,sh,0
baseline (1 shot) ,0.606,0.722,0.753,0,0.019,0.185,0.261,0,0,0.575,0.538,0.487,0.538,0.606,py,sh,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,sh,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,sh,
baseline (4 shot),0.748,0.825,0.838,0,0.13,0.168,0.123,0,0,0.825,0.737,0.553,0.667,0.748,py,sh,4
explain -> translation (4 shot),0.729,0.793,0.811,,,,,,,,,,,,py,sh,4
explain -> translation (4 shot) (java),0.731,0.801,0.823,,,,,,,,,,,0.731,py,sh,4
explain (0 shot) -> translation (4 shot),0.738,0.815,0.84,,,,,,,,,,,,py,sh,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.731,0.79,0.81,,,,,,,,,,,,py,sh,4
latex -> translation,,,,0,0.013,0.222,0.266,0,0,,,,,0.544,py,sh,4
latex -> translation (allow multi function),,,,0,0.006,0.297,0.222,0.006,0,,,,,0.557,py,sh,4
latex -> translation (manual parse),,,,0,0.006,0.203,0.228,0.006,0.025,0.7,0.513,0.359,0.55,0.595,py,sh,4
steps (specific) -> translation,,,,0,0.019,0.177,0.278,0.006,0.025,0.625,0.513,0.359,0.475,0.532,py,sh,4
steps (specific) -> translation (allow multi),,,,0,0.019,0.222,0.234,0,0.051,,,,,0.513,py,sh,4
steps-w-code -> translation (allow multi),,,,,,,,,,,,,,,py,sh,4
cot -> translation (allow multi),,,,,,,,,,,,,,,py,sh,4
summary -> translation,,,,0,0.013,0.184,0.272,0,0.07,0.525,0.513,0.359,0.45,0.506,py,sh,
summary -> translation (allow multi),,,,0,0.006,0.171,0.31,0,0.057,0.525,0.513,,,0.5,py,sh,
explain-lbl -> translation (4 shot),0.719,807,0.829,,,,,,,,,,,0.719,py,sh,4
explain-lbl-simp -> translation (4 shot) (code frag),0.723,0.814,0.841,,,,,,,,,,,0.723,py,sh,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.725,0.813,0.84,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - R 158 programs,,,,,,,,,,,,,,,,,
baseline (0 shot),0.404,0.495,0.519,0.032,0.028,0.224,0,0.313,0,0.426,0.412,0.5,0.273,0.404,py,r,0
explain -> translation,0.475,0.551,0.569,0.025,0.031,0.447,0.006,0,0,0.512,0.5,0.55,0.4,0.475,py,r,0
explain -> translation (java),0.469,0.551,0.574,0.025,0.036,0.179,0.285,0.009,0,0.507,0.515,0.464,0.376,0.469,py,r,0
"func -> src, tgt -> translate (func2)",,,,0.006,0.031,0.584,0,0,0,0.488,0.275,0.475,0.275,0.379,py,r,1
explain -> translate component -> translation,,,,,,,,,,,,,,0.41,py,r,1
explain-lbl -> translation ,0.48,0.569,0.592,0.025,0.026,0.151,0.316,0.004,0,0.522,0.505,0.453,0.431,0.48,py,r,0
explain-lbl-simp -> translation ,0.455,0.529,0.558,0.025,0.034,0.167,0.318,0.001,0,0.467,0.483,0.434,0.435,0.455,py,r,0
baseline (1 shot),0.528,0.584,0.608,0.032,0.013,0.134,0.293,0,0,0.575,0.538,0.59,0.41,0.528,py,r,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,r,4
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,r,4
baseline (4 shot),0.564,0.631,0.651,0.012,0.009,0.112,0.3,0.002,0,0.603,0.568,0.568,0.518,0.564,py,r,4
explain -> translation (4 shot),0.591,0.644,0.659,,,,,,,,,,,,py,r,4
explain -> translation (4 shot) (java),0.556,0.597,0.611,0.013,0.007,0.11,0.301,0.013,0,0.562,0.6,0.546,0.517,0.556,py,r,4
explain (0 shot) -> translation (4 shot),0.575,0.632,0.642,,,,,,,,,,,,py,r,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.573,0.624,0.648,,,,,,,,,,,,py,r,4
latex -> translation,,,,0.019,0.019,0.23,0.242,0.037,0,0.524,0.462,0.425,0.4,0.453,py,r,4
steps (specific) -> translation,,,,0.037,0.043,0.155,0.248,0.025,0,0.595,0.487,0.525,0.35,0.497,py,r,4
steps-w-code -> translation,,,,,,,,,,,,,,,py,r,4
cot -> translation,,,,0,0.012,0.18,0.304,0.019,0,0.5,0.487,0.425,0.375,0.484,py,r,4
summary -> translation,,,,0.043,0.031,0.174,0.261,0.019,0,0.524,0.487,0.475,0.4,0.472,py,r,4
explain-lbl -> translation (4 shot),0.569,0.622,0.646,0.015,0.006,0.117,0.288,0.005,0,0.538,0.599,0.595,0.546,0.569,py,r,4
explain-lbl-simp -> translation (4 shot) (code frag),0.57,0.618,0.634,0.013,0.01,0.114,0.292,0.001,0,0.515,0.626,0.601,0.54,0.57,py,r,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.57,0.621,0.64,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - Julia 159 programs,,,,,,,,,,,,,,,,,
baseline (0 shot),0.616,0.673,0.696,0.063,0.05,0.208,0.126,0,0.013,0.7,0.65,0.462,0.35,0.616,py,jl,0
explain -> translation,0.712,0.748,0.761,0.031,0.044,0.101,0.094,0,0,0.825,0.8,0.744,0.55,0.712,py,jl,0
explain -> translation (java),0.705,0.742,0.758,,,,,,,,,,,0.705,py,jl,0
explain-lbl -> translation ,0.692,0.734,0.753,0.025,0.057,0.113,0.132,0,0,0.725,0.75,0.718,0.5,0.692,py,jl,0
explain-lbl-simp -> translation ,0.689,0.724,0.738,0.025,0.069,0.107,0.113,0,0,0.7,0.75,0.744,0.55,0.689,py,jl,0
baseline (1 shot),0.665,0.71,0.728,0.013,0.057,0.184,0.082,0,0,0.775,0.7,0.667,0.513,0.665,py,jl,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,jl,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,jl,
baseline (4 shot),0.653,0.696,0.713,0.026,0.057,0.128,0.135,0,0,0.775,0.744,0.667,0.421,0.653,py,jl,4
explain -> translation (4 shot),0.692,0.732,0.748,,,,,,,,,,,,py,jl,4
explain -> translation (4 shot) (java),0.694,0.735,0.745,,,,,,,,,,,0.694,py,jl,4
explain (0 shot) -> translation (4 shot),0.683,0.721,0.735,,,,,,,,,,,0.683,py,jl,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.729,0.762,0.771,,,,,,,,,,,,py,jl,4
latex -> translation,,,,0.013,0.063,0.126,0.101,0,0,0.75,0.829,0.605,0.6,0.698,py,jl,4
steps (specific) -> translation,,,,0,0.031,0.138,0.113,0,0,0.85,0.78,0.658,0.575,0.717,py,jl,4
steps-w-code -> translation,,,,,,,,,,,,,,,py,jl,4
cot -> translation,,,,0.006,0.057,0.195,0.113,0,0,0.75,0.756,0.474,0.525,0.629,py,jl,4
summary -> translation,,,,0.031,0.038,0.119,0.094,0,0,0.775,0.829,0.658,0.6,0.717,py,jl,4
explain-lbl -> translation (4 shot),0.721,0.764,0.779,0.026,0.058,0.084,0.11,0,0,0.825,0.821,0.692,0.541,0.721,py,jl,4
explain-lbl-simp -> translation (4 shot) (code frag),0.716,0.759,0.773,0.032,0.071,0.077,0.09,0,0,0.775,0.821,0.744,0.568,0.716,py,jl,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.711,0.755,0.77,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - Lua 161 programs,,,,,,,,,,,,,,,,,
baseline (0 shot),0.562,0.645,0.668,0,0.118,0.062,0.242,0,0,0.683,0.625,0.525,0.475,0.562,py,lua,0
