exp,alpha,estimated_pass@1
py-java-exp-1shot,0,0.848
py-java-exp-1shot,0.1,0.848
py-java-exp-1shot,0.2,0.848
py-java-exp-1shot,0.3,0.848
py-java-exp-1shot,0.4,0.848
py-java-exp-1shot,0.5,0.848
py-java-exp-1shot,0.6,0.848
py-java-exp-1shot,0.7,0.854
py-java-exp-1shot,0.8,0.848
py-java-exp-1shot,0.9,0.848
py-java-exp-1shot,1,0.854
py-java-exp-lbl-0shot,0,0.838
py-java-exp-lbl-0shot,0.1,0.838
py-java-exp-lbl-0shot,0.2,0.838
py-java-exp-lbl-0shot,0.3,0.838
py-java-exp-lbl-0shot,0.4,0.831
py-java-exp-lbl-0shot,0.5,0.831
py-java-exp-lbl-0shot,0.6,0.825
py-java-exp-lbl-0shot,0.7,0.831
py-java-exp-lbl-0shot,0.8,0.825
py-java-exp-lbl-0shot,0.9,0.825
py-java-exp-lbl-0shot,1,0.831
py-java-exp-lbl-d-0shot,0,0.864
py-java-exp-lbl-d-0shot,0.1,0.864
py-java-exp-lbl-d-0shot,0.2,0.864
py-java-exp-lbl-d-0shot,0.3,0.864
py-java-exp-lbl-d-0shot,0.4,0.864
py-java-exp-lbl-d-0shot,0.5,0.864
py-java-exp-lbl-d-0shot,0.6,0.864
py-java-exp-lbl-d-0shot,0.7,0.87
py-java-exp-lbl-d-0shot,0.8,0.87
py-java-exp-lbl-d-0shot,0.9,0.864
py-java-exp-lbl-d-0shot,1,0.857
py-rkt-exp-2shot,0,0.391
py-rkt-exp-2shot,0.1,0.385
py-rkt-exp-2shot,0.2,0.385
py-rkt-exp-2shot,0.3,0.379
py-rkt-exp-2shot,0.4,0.373
py-rkt-exp-2shot,0.5,0.36
py-rkt-exp-2shot,0.6,0.373
py-rkt-exp-2shot,0.7,0.379
py-rkt-exp-2shot,0.8,0.41
py-rkt-exp-2shot,0.82,0.416
py-rkt-exp-2shot,0.84,0.435
py-rkt-exp-2shot,0.86,0.435
py-rkt-exp-2shot,0.88,0.435
py-rkt-exp-2shot,0.9,0.429
py-rkt-exp-2shot,0.92,0.416
py-rkt-exp-2shot,0.94,0.422
py-rkt-exp-2shot,0.96,0.422
py-rkt-exp-2shot,0.98,0.416
py-rkt-exp-2shot,1,0.416